id,neighborhood,price,latitude,longitude
35734859,Gateway - Green Valley Ranch,$55.00 ,39.79457,-104.77606
35743050,DIA,$800.00 ,39.80302,-104.77005
35762175,North Capitol Hill,$107.00 ,39.74338,-104.97806
35762577,East Colfax,$60.00 ,39.7338,-104.89145
35765156,Cherry Creek,$205.00 ,39.71665,-104.94239
35771940,Hampden South,$60.00 ,39.64002,-104.89129
35772614,Hampden South,$60.00 ,39.64151,-104.89201
35796281,Five Points,$175.00 ,39.75169,-104.97824
35796686,Five Points,$115.00 ,39.75567,-104.97547
35810400,Highland,$105.00 ,39.76547,-105.00999
35828919,Five Points,$195.00 ,39.75018,-104.98366
35837573,Southmoor Park,$45.00 ,39.6451,-104.9164
35841107,Five Points,$999.00 ,39.7575,-104.98571
35842557,Platt Park,$279.00 ,39.68376,-104.97484
35850002,Hale,$70.00 ,39.72782,-104.93521
35873903,University,$45.00 ,39.6604,-104.96467
35875517,Hampden South,$34.00 ,39.63982,-104.88374
35879405,South Park Hill,$150.00 ,39.74135,-104.91104
35879415,Gateway - Green Valley Ranch,$65.00 ,39.79306,-104.77602
35879646,Gateway - Green Valley Ranch,$52.00 ,39.79496,-104.77657
35886541,West Colfax,$75.00 ,39.73983,-105.02852
35916148,Cheesman Park,$100.00 ,39.73917,-104.96061
35925103,Sloan Lake,$200.00 ,39.75227,-105.04801
35936980,West Highland,$40.00 ,39.768,-105.03887
35940725,Five Points,$205.00 ,39.75129,-104.97366
35942380,Union Station,$125.00 ,39.7557,-105.0026
35949665,Barnum West,$100.00 ,39.71996,-105.04864
35961566,Capitol Hill,$86.00 ,39.73329,-104.97893
35967933,CBD,$130.00 ,39.74432,-104.99484
35971684,Gateway - Green Valley Ranch,$47.00 ,39.78506,-104.76191
35996190,DIA,$159.00 ,39.80232,-104.76974
35996831,Sloan Lake,$40.00 ,39.75312,-105.05487
36026536,Clayton,$54.00 ,39.76212,-104.95512
36031549,Regis,$70.00 ,39.78654,-105.04056
36036522,Platt Park,$120.00 ,39.69634,-104.98199
36037780,Union Station,$99.00 ,39.75621,-105.00212
36041242,Union Station,$122.00 ,39.75438,-105.00107
36075162,Sunnyside,$115.00 ,39.77408,-105.01433
36079695,Baker,$150.00 ,39.71743,-104.99042
36100831,Regis,$95.00 ,39.78742,-105.03469
36104111,Capitol Hill,$52.00 ,39.73605,-104.97583
36109052,Five Points,$160.00 ,39.75346,-104.97565
36111464,Cheesman Park,$250.00 ,39.73787,-104.9684
36134858,Congress Park,$25.00 ,39.72768,-104.95667
36135331,City Park,$150.00 ,39.7418,-104.95452
36140625,CBD,$225.00 ,39.74382,-104.99614
36142545,Virginia Village,$60.00 ,39.68192,-104.93279
36144958,Five Points,$110.00 ,39.75511,-104.98921
36145354,West Highland,$350.00 ,39.75987,-105.03602
36147748,Goldsmith,$75.00 ,39.67375,-104.91479
36149907,Sloan Lake,$90.00 ,39.75045,-105.03379
36170501,Stapleton,$200.00 ,39.74878,-104.89342
36175179,Cole,$135.00 ,39.76432,-104.96971
36180431,University Hills,$60.00 ,39.66412,-104.92504
36205182,Five Points,$100.00 ,39.75781,-104.97836
36206107,Berkeley,$125.00 ,39.77516,-105.04454
36209411,Baker,$165.00 ,39.7192,-104.9999
36209591,City Park,$150.00 ,39.74379,-104.94137
36210110,Union Station,$129.00 ,39.75487,-104.99953
36224425,Whittier,$75.00 ,39.75696,-104.96735
36226657,Baker,$103.00 ,39.72496,-104.99082
36234084,Harvey Park,$130.00 ,39.674,-105.04023
36234276,Highland,$65.00 ,39.76391,-105.01151
36234361,Windsor,$50.00 ,39.70539,-104.87043
36235699,Highland,$69.00 ,39.76445,-105.01301
36238862,Washington Park West,$140.00 ,39.70652,-104.98469
36240614,Bear Valley,$60.00 ,39.66784,-105.07939
36242292,Virginia Village,$50.00 ,39.68081,-104.91579
36243237,Gateway - Green Valley Ranch,$250.00 ,39.79536,-104.74569
36250852,East Colfax,$151.00 ,39.74362,-104.88694
36257237,Speer,$100.00 ,39.71766,-104.97898
36258089,Union Station,$107.00 ,39.75436,-104.99993
36261302,Cheesman Park,$79.00 ,39.73982,-104.96695
36267699,Stapleton,$80.00 ,39.75757,-104.89672
36283016,Five Points,$75.00 ,39.75785,-104.97811
36283276,Platt Park,$158.00 ,39.69346,-104.98368
36310777,Union Station,$106.00 ,39.75504,-105.00092
36319821,Speer,$60.00 ,39.71704,-104.97623
36346977,Athmar Park,$120.00 ,39.7003,-105.0026
36347707,Athmar Park,$125.00 ,39.70051,-105.00375
36350777,Kennedy,$26.00 ,39.65842,-104.85238
36355149,Whittier,$120.00 ,39.75694,-104.96149
36377754,Congress Park,$44.00 ,39.7349,-104.94113
36378454,Gateway - Green Valley Ranch,$175.00 ,39.78528,-104.75618
36382729,Highland,$150.00 ,39.76074,-105.00915
36385550,Gateway - Green Valley Ranch,$77.00 ,39.77262,-104.74445
36412699,East Colfax,$299.00 ,39.73435,-104.90168
36419998,Baker,$82.00 ,39.72473,-104.99254
36420083,Wellshire,$35.00 ,39.66691,-104.94204
36421025,Wellshire,$55.00 ,39.66694,-104.94351
36440755,Montclair,$56.00 ,39.72896,-104.92168
36453657,Villa Park,$69.00 ,39.73024,-105.03572
36455813,Lincoln Park,$62.00 ,39.72625,-104.99249
36457134,Wellshire,$60.00 ,39.66676,-104.94262
36476623,Platt Park,$175.00 ,39.68374,-104.97775
36478390,Country Club,$495.00 ,39.71931,-104.9729
36485190,CBD,$199.00 ,39.74656,-104.99279
36492061,West Colfax,$250.00 ,39.73572,-105.05074
36508422,Capitol Hill,$107.00 ,39.73563,-104.97891
36521451,Villa Park,$95.00 ,39.73236,-105.04016
36523288,Hilltop,$285.00 ,39.71486,-104.9215
36529332,Speer,$95.00 ,39.72273,-104.97526
36531673,Union Station,$175.00 ,39.75524,-105.00217
36551681,University Park,$850.00 ,39.68034,-104.95626
36564259,Washington Park West,$129.00 ,39.70747,-104.97943
36564522,University,$120.00 ,39.67645,-104.96791
36564609,North Park Hill,$100.00 ,39.76144,-104.92187
36564640,Westwood,$75.00 ,39.70321,-105.04908
36572176,Capitol Hill,$103.00 ,39.73034,-104.9834
36596642,Regis,$85.00 ,39.78775,-105.04074
36596870,Highland,$110.00 ,39.76847,-105.01088
36597874,Speer,$125.00 ,39.7178,-104.98596
36600928,University,$120.00 ,39.68561,-104.96732
36601078,Regis,$130.00 ,39.78914,-105.03696
36604444,Berkeley,$85.00 ,39.76972,-105.04796
36634584,West Colfax,$155.00 ,39.74208,-105.04016
36635926,Union Station,$165.00 ,39.75655,-105.00232
36639011,Highland,$120.00 ,39.76652,-105.02459
36639848,Jefferson Park,$65.00 ,39.75324,-105.02409
36639901,Congress Park,$127.00 ,39.73717,-104.94483
36640371,Congress Park,$119.00 ,39.72765,-104.95606
36646004,Hampden,$109.00 ,39.65447,-104.88017
36666699,Virginia Village,$94.00 ,39.69665,-104.9258
36667311,Clayton,$273.00 ,39.76601,-104.95916
36693802,Congress Park,$52.00 ,39.72652,-104.95753
36704642,DIA,$70.00 ,39.80106,-104.76495
36728065,Cheesman Park,$115.00 ,39.73935,-104.97114
36732059,Villa Park,$100.00 ,39.73248,-105.04356
36732290,Five Points,$179.00 ,39.76613,-104.98088
36739073,Hilltop,$250.00 ,39.71745,-104.93357
36760252,Hampden,$120.00 ,39.67102,-104.87187
36760677,Marston,$100.00 ,39.62941,-105.0962
36761087,Highland,$181.00 ,39.76297,-105.00337
36761794,Highland,$175.00 ,39.76435,-105.00334
36762379,Highland,$220.00 ,39.76309,-105.00229
36762797,Highland,$215.00 ,39.76378,-105.00186
36763284,Highland,$175.00 ,39.76298,-105.00393
36766994,Highland,$999.00 ,39.76339,-105.01681
36767534,Union Station,$200.00 ,39.75661,-105.00076
36769530,Cory - Merrill,$60.00 ,39.69638,-104.943
36774913,Baker,$30.00 ,39.71836,-104.99477
36775182,Washington Park West,$66.00 ,39.71078,-104.98044
36794834,Virginia Village,$130.00 ,39.68945,-104.93794
36805939,Berkeley,$150.00 ,39.78112,-105.03568
36806153,Highland,$122.00 ,39.76083,-105.0095
36806257,Union Station,$150.00 ,39.75796,-105.00395
36806828,City Park West,$90.00 ,39.74889,-104.96141
36806914,Barnum West,$75.00 ,39.72274,-105.04073
36806984,Washington Park West,$135.00 ,39.69964,-104.98193
36807205,Washington Park West,$160.00 ,39.70677,-104.98163
36815282,Union Station,$185.00 ,39.75368,-105.00069
36815550,Union Station,$195.00 ,39.75371,-105.00174
36835110,Hale,$95.00 ,39.73493,-104.93995
36836311,Jefferson Park,$435.00 ,39.75237,-105.02041
36844868,Athmar Park,$115.00 ,39.7006,-105.00844
36846413,Baker,$50.00 ,39.716,-104.98843
36848043,Sunnyside,$88.00 ,39.77593,-105.00556
36851133,Virginia Village,$129.00 ,39.69411,-104.92971
36851163,Jefferson Park,$65.00 ,39.75317,-105.02273
36867824,Union Station,$185.00 ,39.75556,-105.00026
36868885,Highland,$55.00 ,39.76585,-105.01318
36868978,Five Points,$999.00 ,39.75353,-104.97628
36870347,Whittier,$196.00 ,39.75139,-104.97183
36871383,Cole,$375.00 ,39.77062,-104.96533
36872901,Union Station,$185.00 ,39.75612,-105.00279
36874585,Civic Center,$300.00 ,39.73857,-104.99492
36876925,Hampden,$200.00 ,39.66661,-104.89685
36880212,Barnum West,$250.00 ,39.72304,-105.04119
36880394,North Park Hill,$120.00 ,39.75828,-104.93795
36881170,Five Points,$60.00 ,39.76026,-104.97481
36882968,City Park West,$58.00 ,39.74561,-104.963
36909324,CBD,$119.00 ,39.74653,-104.99182
36913982,West Colfax,$90.00 ,39.744,-105.0277
36916243,Chaffee Park,$120.00 ,39.78953,-105.01505
36919708,Lincoln Park,$79.00 ,39.72688,-105.00235
36928877,North Capitol Hill,$75.00 ,39.74646,-104.98305
36941316,Baker,$119.00 ,39.72164,-104.99802
36945702,Sloan Lake,$144.00 ,39.74774,-105.02716
36976131,Sunnyside,$115.00 ,39.77986,-105.02243
36980944,Union Station,$175.00 ,39.7559,-105.00118
36981828,Gateway - Green Valley Ranch,$43.00 ,39.78155,-104.80702
37012144,Five Points,$145.00 ,39.75426,-104.98766
37015282,Platt Park,$105.00 ,39.684,-104.98443
37015519,Clayton,$137.00 ,39.76628,-104.95002
37015773,Capitol Hill,$85.00 ,39.73583,-104.9829
37016638,Washington Virginia Vale,$200.00 ,39.70353,-104.91791
37024504,Hale,$95.00 ,39.73206,-104.93161
37045509,Jefferson Park,$275.00 ,39.75285,-105.02451
37047912,Berkeley,$40.00 ,39.77451,-105.04962
37049808,Mar Lee,$99.00 ,39.69063,-105.04599
37050189,Washington Park,$85.00 ,39.70431,-104.96721
37052497,Union Station,$200.00 ,39.75646,-105.00202
37055134,Ruby Hill,$150.00 ,39.68913,-105.02101
37085822,Jefferson Park,$115.00 ,39.74824,-105.02374
37086970,West Highland,$199.00 ,39.76738,-105.04074
37088734,Villa Park,$80.00 ,39.73288,-105.0281
37090673,Valverde,$45.00 ,39.71507,-105.02157
37099739,Cole,$147.00 ,39.76765,-104.96582
37119251,Five Points,$180.00 ,39.75339,-104.9861
37151782,Capitol Hill,$153.00 ,39.73347,-104.98126
37161557,Five Points,$170.00 ,39.74886,-104.9823
37179361,Washington Park West,$70.00 ,39.70156,-104.98644
37183949,Skyland,$95.00 ,39.75931,-104.94888
37206363,Capitol Hill,$100.00 ,39.73019,-104.97698
37211561,Sunnyside,$125.00 ,39.77051,-105.00833
37216858,Jefferson Park,$120.00 ,39.75208,-105.02386
37238540,Speer,$102.00 ,39.71844,-104.98235
37244418,Union Station,$158.00 ,39.75506,-105.00132
37244459,Union Station,$250.00 ,39.75164,-104.99455
37249656,Five Points,$80.00 ,39.74939,-104.98257
37251142,City Park West,$265.00 ,39.74828,-104.96062
37254370,Gateway - Green Valley Ranch,$50.00 ,39.78961,-104.73507
37256449,Gateway - Green Valley Ranch,$130.00 ,39.77635,-104.80386
37265429,Whittier,$155.00 ,39.75946,-104.96354
37278818,Chaffee Park,$65.00 ,39.78798,-105.01061
37279196,Baker,$100.00 ,39.71735,-104.98946
37284288,Berkeley,$150.00 ,39.77559,-105.04921
37292895,Regis,$140.00 ,39.78751,-105.02726
37293630,North Park Hill,$110.00 ,39.7592,-104.93525
37298856,Congress Park,$225.00 ,39.73983,-104.95066
37316297,Five Points,$149.00 ,39.76044,-104.97835
37320886,Hampden,$35.00 ,39.66564,-104.8976
37333429,City Park West,$150.00 ,39.7484,-104.96249
37335033,Jefferson Park,$115.00 ,39.7521,-105.01992
37355178,Gateway - Green Valley Ranch,$41.00 ,39.77267,-104.74257
37358616,Barnum West,$99.00 ,39.72364,-105.05236
37361596,Gateway - Green Valley Ranch,$48.00 ,39.7711,-104.74389
37361749,Gateway - Green Valley Ranch,$48.00 ,39.7714,-104.74448
37366816,Valverde,$65.00 ,39.71379,-105.00987
37367155,Cherry Creek,$60.00 ,39.71829,-104.94297
37370810,Berkeley,$149.00 ,39.78047,-105.04108
37390383,Union Station,$85.00 ,39.75374,-105.00114
37394745,Gateway - Green Valley Ranch,$499.00 ,39.78565,-104.76337
37400399,Rosedale,$94.00 ,39.67002,-104.98152
37400469,Baker,$160.00 ,39.72247,-104.9934
37400661,University,$250.00 ,39.67617,-104.96689
37400859,Baker,$160.00 ,39.72051,-104.99262
37404547,Sloan Lake,$120.00 ,39.75404,-105.04147
37420287,Five Points,$150.00 ,39.75485,-104.99075
37422277,Fort Logan,$74.00 ,39.6458,-105.05985
